Comparison,p_adjusted,Significance
MESO_vs_STAD,2.9736222455975783e-09,***
MESO_vs_CHOL,0.04652986517878917,*
MESO_vs_KIRC,0.0635887748209631,ns
MESO_vs_THCA,0.0006069070074274685,***
MESO_vs_HNSC,1.484073139321664e-09,***
MESO_vs_READ,1.1928705377535455e-15,***
MESO_vs_SKCM,4.183896695769848e-06,***
MESO_vs_LGG,0.4956052470016672,ns
MESO_vs_DLBC,2.719193834733351e-08,***
MESO_vs_KICH,7.020996643923035e-15,***
MESO_vs_UCS,0.4771432583834845,ns
MESO_vs_ACC,0.01929197789122968,*
MESO_vs_PCPG,1.5679931716602147e-06,***
MESO_vs_UVM,3.713670993047661e-15,***
COAD_vs_STAD,1.871574268939141e-51,***
COAD_vs_CHOL,1.8259140970435505e-12,***
COAD_vs_KIRC,4.5671395750963704e-41,***
COAD_vs_THCA,1.2424080613403463e-72,***
COAD_vs_HNSC,3.933642416035787e-08,***
COAD_vs_READ,0.015278754504874894,*
COAD_vs_SKCM,0.00037871529450518934,***
COAD_vs_LGG,3.6223594743557583e-65,***
COAD_vs_DLBC,0.7763338707601303,ns
COAD_vs_KICH,0.010832872286475757,*
COAD_vs_UCS,1.8444518835404523e-10,***
COAD_vs_ACC,3.4813414742946113e-09,***
COAD_vs_PCPG,9.116869826494515e-51,***
COAD_vs_UVM,0.2128466664808345,ns
STAD_vs_CHOL,0.021921337987685988,*
STAD_vs_KIRC,4.982287102949889e-38,***
STAD_vs_THCA,7.714750150192262e-12,***
STAD_vs_HNSC,1.1451789980834806e-54,***
STAD_vs_READ,7.963159248540092e-28,***
STAD_vs_SKCM,2.1991306338269722e-20,***
STAD_vs_LGG,3.0351134006782165e-27,***
STAD_vs_DLBC,8.690881673547676e-15,***
STAD_vs_KICH,8.86340439292942e-22,***
STAD_vs_UCS,5.3083112472148614e-08,***
STAD_vs_ACC,1.4945434278683286e-11,***
STAD_vs_PCPG,0.000345314671470811,***
STAD_vs_UVM,3.5452316580905694e-25,***
CHOL_vs_KIRC,0.0005995507413199783,***
CHOL_vs_THCA,0.9094019565967629,ns
CHOL_vs_HNSC,1.7228097718144594e-08,***
CHOL_vs_READ,4.703901454691867e-12,***
CHOL_vs_SKCM,1.0207516289182213e-06,***
CHOL_vs_LGG,0.0386121664280446,*
CHOL_vs_DLBC,2.5042019812686767e-08,***
CHOL_vs_KICH,2.6621312545534265e-12,***
CHOL_vs_UCS,0.027041000894184857,*
CHOL_vs_ACC,0.0009238523544328319,***
CHOL_vs_PCPG,0.2904593531974246,ns
CHOL_vs_UVM,1.5604295963007651e-12,***
KIRC_vs_THCA,2.405380723295815e-26,***
KIRC_vs_HNSC,1.3326717979860536e-21,***
KIRC_vs_READ,3.5452316580905694e-25,***
KIRC_vs_SKCM,1.7502925910351257e-07,***
KIRC_vs_LGG,1.484073139321664e-09,***
KIRC_vs_DLBC,3.2951862761454203e-10,***
KIRC_vs_KICH,1.5945698937921518e-22,***
KIRC_vs_UCS,0.4971132768647935,ns
KIRC_vs_ACC,0.060916490427584166,ns
KIRC_vs_PCPG,2.098488959940528e-25,***
KIRC_vs_UVM,2.6565270410929333e-24,***
THCA_vs_HNSC,1.2949796546975887e-64,***
THCA_vs_READ,8.43360167043243e-38,***
